query_id,question,category,topic,action,target_article,related_articles,gap_description,confidence,score
69d4c7c0a0b93dcd423aa433_4753,"ne of our employees keeps requesting leave that violates our internal policy, and managers are getting frustrated. How exactly would AttendanceBot handle this conversation step-by-step with the employee?",LEAVE,AttendanceBot policy violations,doc_update,How AttendanceBot handles policy violations in leave requests,How can I apply for leave in Slack with AttendanceBot?; What can a manager do in AttendanceBot?; How to cancel / retract / rescind / delete a leave request?,The articles do not provide specific guidance on handling policy violations in leave requests.,high,2.6
69d4b9e52e81bb09edee78e4_1919,Cancel membership,BILLING,Cancel membership process,doc_update,How to cancel / retract / rescind / delete a leave request,How to deactivate a user in AttendanceBot; How to inactivate users?; How to cancel / retract / rescind / delete a leave request,The articles do not provide specific instructions on canceling a membership.,high,3.0
69d3d8792e81bb09eded701a_4415,how do i connect you with googlesheet so can transfer data in automode to google sheet,INTEGRATIONS,Connecting AttendanceBot to Google Sheets,doc_update,Installing AttendanceBot in Google Chat & Introducing New Users,Installing AttendanceBot in Google Chat & Introducing New Users; How to send hours to Gusto for payroll,Lacks specific guidance on connecting AttendanceBot to Google Sheets for automatic data transfer.,high,2.8
69d2de4c57ac76d230262cad_9820,why is my plotted vacation leave not included in my hours?,LEAVE,Vacation leave inclusion,doc_update,What are the different kinds of leaves?,How to apply for recurring leave or hybrid status; What are the different kinds of leaves?,The articles do not provide specific guidance on checking leave settings or why vacation leave may not be included in hours.,high,3.8
69d196c557ac76d230243284_2796,Cancel membership ,BILLING,Cancel membership process,doc_update,How to cancel a membership,How to deactivate a user in AttendanceBot; How do I uninstall AttendanceBot from Google Chat?,The retrieved articles do not contain specific instructions on how to cancel a membership.,high,2.4
69ce7b10b1e92607b3260468_5232,I want to add an appt at 11 on 4/29 ,GENERAL,Appointment scheduling process,doc_update,How to apply for time off for half a day or few hours?,Taking time off; How to apply for time off for half a day or few hours?; How to view and claim open shifts,The articles do not provide specific steps for adding an appointment.,high,3.0
69cdb70beb78d073c3953709_9309,how make manger in bot,MANAGER,Creating a manager in bot,doc_write,How to create a manager in AttendanceBot,How to setup lunch hours for your team; How to use shift management and create shifts for your team,The retrieved articles do not address how to create a manager role in the bot.,high,2.4
69cad6258d1c2e5654876eab_499,I need a live ag3nt,GENERAL,Contacting a live agent,doc_write,How to contact a live agent,Adding New Users to Hangouts/Google Chat; How to swap or reassign shifts; How to configure shift alerts,No articles provide instructions for contacting a live agent.,high,2.4
69caa51c4d52b130a016c498_3650,is timesheet custom range not working?,TIMESHEET,custom range issue,doc_update,How to approve the timesheets of my reportees,How to approve the timesheets of my reportees; How do I unlock the timesheet that's approved?,The articles do not address the custom range functionality or troubleshooting steps related to it.,high,3.4
69c9809b98f5801bc941df2e_4509,hui! how you can help-me?,GENERAL,Assistance with AttendanceBot,doc_update,How can I get help from AttendanceBot support?,"How can I get help from AttendanceBot support?; Getting Started, Action Menu Buttons, and Help Navigation",The articles do not provide specific guidance on how to ask for help or what questions can be addressed.,high,3.6
69c9809b98f5801bc941df2e_9250,"Ok, but this still feels very generic.
I have a real situation: one of our employees keeps requesting leave that violates our internal policy, and managers are getting frustrated.
How exactly would AttendanceBot handle this conversation step-by-step with the employee?",LEAVE,Handling policy violations,doc_update,What can a manager do in AttendanceBot?,How can I apply for leave in Slack with AttendanceBot?; What can a manager do in AttendanceBot?,The articles do not provide specific guidance on handling leave requests that violate internal policy.,high,2.6
69c97ac2e84270d447a8ef6e_375,what kind of information you have?,LEAVE,Leave tracking and planning,doc_update,Leave Tracking and WFO/WFH Planning,What are my reporting options and what do the different reports do?; Checking Your Leave Balance; How can I generate reports?,Lacks specific details about leave tracking and WFO/WFH planning functionalities.,high,4.4
69c97ac2e84270d447a8ef6e_3280,That sounds risky for companies relying on automated payroll. Are there other situations where the accuracy of the data depends heavily on user actions or specific configurations?,GENERAL,user actions impact data accuracy,doc_update,How to bulk update employee data using import / export functionality,Understanding future balance deduction against payroll versus instant deduction; How to bulk update employee data using import / export functionality; How to generate a payroll report in Slack with AttendanceBot,The articles mention data accuracy but do not provide specific examples of situations where user actions impact accuracy.,high,2.4
69c97ac2e84270d447a8ef6e_9649,Can you help me draft a short email to my team explaining these risks and what to watch out for?,GENERAL,Drafting email for risks,doc_write,Email Drafting Guidelines,Time/Task tracking; AttendanceBot Plans and Features; What can a manager do in AttendanceBot?,No guidance on drafting emails related to risks,high,3.4
69c97ac2e84270d447a8ef6e_8834,"great, thanks! thisis helpful. Can you include what could happen if these steps are not followed properly?",LEAVE,Consequences of not following steps,doc_update,Approval routing and multi-level approvals for leaves,Getting Started; How to bulk update employee data using import / export functionality; Approval routing and multi-level approvals for leaves,The articles mention approval processes but do not specify consequences of not following steps.,medium,2.8
69c95983e84270d447a857a3_8840,"In the previous session with this bot, you shared the export API URL. Could you resend it here so I can continue debugging?",GENERAL,export API URL,doc_update,API Documentation,API Documentation,The articles mention API documentation but do not provide the specific export API URL.,high,2.4
69c95983e84270d447a857a3_283,"Could you explain how AttendanceBot handles data export internally? For example, what kind of endpoints or data structures are typically used?",GENERAL,AttendanceBot data export,doc_update,API Documentation,How to bulk update employee data using import / export functionality; API Documentation,Specific endpoints and data structures for data export are not detailed in the retrieved articles.,high,3.0
69c95983e84270d447a857a3_7587,I already have partial API access but missing the logs endpoint—can you confirm if it follows the same pattern as /v1/time_entries or similar endpoints?,GENERAL,logs endpoint pattern,doc_update,API Documentation,API Documentation,Specific pattern or details about the logs endpoint are missing in the retrieved documentation.,high,3.6
69c6ed5ce84270d447a0f1ec_5996,chnage start time,TIMESHEET,changing start time,doc_update,How to edit or delete punch in and out times,How to edit or delete punch in and out times; How to view and claim open shifts,The article does not provide specific actionable steps for changing the start time.,high,4.2
69c5eecfe2e653adc0dd4d8b_3397,"I want to prohibit clocking in and out via Slack on mobile devices.

Can attendancebot do that?",TIMESHEET,Prohibiting clocking in via mobile,doc_update,How to track time in Slack using AttendanceBot,How to track time in Slack using AttendanceBot,The articles do not provide specific instructions on prohibiting clocking in and out via mobile devices.,high,2.6
69c56651f9294436f0b6d561_3572,how can I export all current leaves,LEAVE,Exporting current leaves,doc_update,How to export current leaves,What are the different kinds of leaves?; Checking Your Leave Balance; How to view overlapping leaves as an approving manager,The retrieved articles do not provide specific steps or information on how to export leaves.,high,2.4
69c5263f3b233600fc611738_5048,cancel account,GENERAL,Account cancellation process,doc_update,How to cancel / retract / rescind / delete a leave request,How to change account admin; How to deactivate a user in AttendanceBot; How to cancel / retract / rescind / delete a leave request,The retrieved articles mention related topics but do not provide specific instructions on how to cancel an account.,high,2.8
